Date,Product,Demand
2019-01-01,Product A,57
2019-01-01,Product B,68
2019-01-01,Product C,98
2019-01-02,Product A,64
2019-01-02,Product B,98
2019-01-02,Product C,56
2019-01-03,Product A,103
2019-01-03,Product B,80
2019-01-03,Product C,125
2019-01-04,Product A,112
2019-01-04,Product B,102
2019-01-04,Product C,181
2019-01-05,Product A,124
2019-01-05,Product B,53
2019-01-05,Product C,137
2019-01-06,Product A,93
2019-01-06,Product B,148
2019-01-06,Product C,52
2019-01-07,Product A,120
2019-01-07,Product B,93
2019-01-07,Product C,108
2019-01-08,Product A,169
2019-01-08,Product B,131
2019-01-08,Product C,76
2019-01-09,Product A,72
2019-01-09,Product B,56
2019-01-09,Product C,164
2019-01-10,Product A,56
2019-01-10,Product B,53
2019-01-10,Product C,134
2019-01-11,Product A,60
2019-01-11,Product B,176
2019-01-11,Product C,112
2019-01-12,Product A,176
2019-01-12,Product B,171
2019-01-12,Product C,111
2019-01-13,Product A,167
2019-01-13,Product B,135
2019-01-13,Product C,170
2019-01-14,Product A,110
2019-01-14,Product B,157
2019-01-14,Product C,135
2019-01-15,Product A,133
2019-01-15,Product B,68
2019-01-15,Product C,187
2019-01-16,Product A,68
2019-01-16,Product B,155
2019-01-16,Product C,96
2019-01-17,Product A,108
2019-01-17,Product B,83
2019-01-17,Product C,163
2019-01-18,Product A,95
2019-01-18,Product B,126
2019-01-18,Product C,118
2019-01-19,Product A,136
2019-01-19,Product B,72
2019-01-19,Product C,81
2019-01-20,Product A,141
2019-01-20,Product B,129
2019-01-20,Product C,178
2019-01-21,Product A,106
2019-01-21,Product B,123
2019-01-21,Product C,121
2019-01-22,Product A,171
2019-01-22,Product B,57
2019-01-22,Product C,144
2019-01-23,Product A,193
2019-01-23,Product B,148
2019-01-23,Product C,123
2019-01-24,Product A,112
2019-01-24,Product B,110
2019-01-24,Product C,174
2019-01-25,Product A,53
2019-01-25,Product B,186
2019-01-25,Product C,84
2019-01-26,Product A,196
2019-01-26,Product B,59
2019-01-26,Product C,83
2019-01-27,Product A,97
2019-01-27,Product B,153
2019-01-27,Product C,80
2019-01-28,Product A,156
2019-01-28,Product B,174
2019-01-28,Product C,177
2019-01-29,Product A,79
2019-01-29,Product B,180
2019-01-29,Product C,188
2019-01-30,Product A,67
2019-01-30,Product B,190
2019-01-30,Product C,183
2019-01-31,Product A,188
2019-01-31,Product B,173
2019-01-31,Product C,170
2019-02-01,Product A,113
2019-02-01,Product B,176
2019-02-01,Product C,66
2019-02-02,Product A,86
2019-02-02,Product B,50
2019-02-02,Product C,79
2019-02-03,Product A,109
2019-02-03,Product B,77
2019-02-03,Product C,182
2019-02-04,Product A,170
2019-02-04,Product B,190
2019-02-04,Product C,66
2019-02-05,Product A,163
2019-02-05,Product B,139
2019-02-05,Product C,52
2019-02-06,Product A,147
2019-02-06,Product B,126
2019-02-06,Product C,119
2019-02-07,Product A,98
2019-02-07,Product B,122
2019-02-07,Product C,130
2019-02-08,Product A,174
2019-02-08,Product B,194
2019-02-08,Product C,184
2019-02-09,Product A,77
2019-02-09,Product B,123
2019-02-09,Product C,184
2019-02-10,Product A,110
2019-02-10,Product B,164
2019-02-10,Product C,134
2019-02-11,Product A,159
2019-02-11,Product B,155
2019-02-11,Product C,73
2019-02-12,Product A,144
2019-02-12,Product B,66
2019-02-12,Product C,166
2019-02-13,Product A,74
2019-02-13,Product B,75
2019-02-13,Product C,132
2019-02-14,Product A,192
2019-02-14,Product B,172
2019-02-14,Product C,88
2019-02-15,Product A,113
