Date,Product,Inventory
2019-01-01,Product A,11
2019-01-01,Product B,81
2019-01-01,Product C,24
2019-01-02,Product A,17
2019-01-02,Product B,99
2019-01-02,Product C,75
2019-01-03,Product A,59
2019-01-03,Product B,77
2019-01-03,Product C,70
2019-01-04,Product A,77
2019-01-04,Product B,25
2019-01-04,Product C,75
2019-01-05,Product A,64
2019-01-05,Product B,48
2019-01-05,Product C,63
2019-01-06,Product A,41
2019-01-06,Product B,90
2019-01-06,Product C,29
2019-01-07,Product A,13
2019-01-07,Product B,32
2019-01-07,Product C,44
2019-01-08,Product A,35
2019-01-08,Product B,26
2019-01-08,Product C,5
2019-01-09,Product A,15
2019-01-09,Product B,98
2019-01-09,Product C,3
2019-01-10,Product A,38
2019-01-10,Product B,58
2019-01-10,Product C,54
2019-01-11,Product A,4
2019-01-11,Product B,18
2019-01-11,Product C,5
2019-01-12,Product A,86
2019-01-12,Product B,39
2019-01-12,Product C,16
2019-01-13,Product A,69
2019-01-13,Product B,79
2019-01-13,Product C,93
2019-01-14,Product A,83
2019-01-14,Product B,80
2019-01-14,Product C,44
2019-01-15,Product A,93
2019-01-15,Product B,50
2019-01-15,Product C,42
2019-01-16,Product A,41
2019-01-16,Product B,86
2019-01-16,Product C,56
2019-01-17,Product A,91
2019-01-17,Product B,50
2019-01-17,Product C,17
2019-01-18,Product A,74
2019-01-18,Product B,69
2019-01-18,Product C,6
2019-01-19,Product A,40
2019-01-19,Product B,3
2019-01-19,Product C,77
2019-01-20,Product A,48
2019-01-20,Product B,17
2019-01-20,Product C,96
2019-01-21,Product A,42
2019-01-21,Product B,84
2019-01-21,Product C,75
2019-01-22,Product A,95
2019-01-22,Product B,23
2019-01-22,Product C,95
2019-01-23,Product A,74
2019-01-23,Product B,54
2019-01-23,Product C,10
2019-01-24,Product A,56
2019-01-24,Product B,51
2019-01-24,Product C,22
2019-01-25,Product A,52
2019-01-25,Product B,49
2019-01-25,Product C,18
2019-01-26,Product A,38
2019-01-26,Product B,66
2019-01-26,Product C,34
2019-01-27,Product A,57
2019-01-27,Product B,58
2019-01-27,Product C,73
2019-01-28,Product A,26
2019-01-28,Product B,42
2019-01-28,Product C,24
2019-01-29,Product A,21
2019-01-29,Product B,72
2019-01-29,Product C,97
2019-01-30,Product A,83
2019-01-30,Product B,47
2019-01-30,Product C,39
2019-01-31,Product A,21
2019-01-31,Product B,67
2019-01-31,Product C,70
2019-02-01,Product A,42
2019-02-01,Product B,21
2019-02-01,Product C,80
2019-02-02,Product A,79
2019-02-02,Product B,6
2019-02-02,Product C,17
2019-02-03,Product A,16
2019-02-03,Product B,16
2019-02-03,Product C,77
2019-02-04,Product A,59
2019-02-04,Product B,39
2019-02-04,Product C,82
2019-02-05,Product A,96
2019-02-05,Product B,62
2019-02-05,Product C,47
2019-02-06,Product A,85
2019-02-06,Product B,34
2019-02-06,Product C,76
2019-02-07,Product A,49
2019-02-07,Product B,29
2019-02-07,Product C,90
2019-02-08,Product A,63
2019-02-08,Product B,68
2019-02-08,Product C,51
2019-02-09,Product A,21
2019-02-09,Product B,28
2019-02-09,Product C,73
2019-02-10,Product A,17
2019-02-10,Product B,22
2019-02-10,Product C,25
2019-02-11,Product A,25
2019-02-11,Product B,65
2019-02-11,Product C,62
2019-02-12,Product A,87
2019-02-12,Product B,46
2019-02-12,Product C,35
2019-02-13,Product A,74
2019-02-13,Product B,42
2019-02-13,Product C,24
2019-02-14,Product A,93
2019-02-14,Product B,46
2019-02-14,Product C,29
2019-02-15,Product A,69
2019-02-15,Product B,99
2019-02-15,Product C,40
2019-02-16,Product A,75
2019-02-16,Product B,61
2019-02-16,Product C,87
2019-02-17,Product A,58
2019-02-17,Product B,92
2019-02-17,Product C,12
2019-02-18,Product A,66
2019-02-18,Product B,49
2019-02-18,Product C,17
2019-02-19,Product A,42
2019-02-19,Product B,99
2019-02-19,Product C,18
2019-02-20,Product A,58
2019-02-20,Product B,45
2019-02-20,Product C,1
2019-02-21,Product A,53
2019-02-21,Product B,62
2019-02-21,Product C,56
2019-02-22,Product A,21
2019-02-22,Product B,43
2019-02-22,Product C,25
2019-02-23,Product A,39
2019-02-23,Product B,16
2019-02-23,Product C,78
2019-02-24,Product A,13
2019-02-24,Product B,78
2019-02-24,Product C,90
2019-02-25,Product A,42
2019-02-25,Product B,94
2019-02-25,Product C,41
2019-02-26,Product A,21
2019-02-26,Product B,15
