Date,Product,Demand,Inventory
2019-01-01,Product A,57,11
2019-01-01,Product B,68,81
2019-01-01,Product C,98,24
2019-01-02,Product A,64,17
2019-01-02,Product B,98,99
2019-01-02,Product C,56,75
2019-01-03,Product A,103,59
2019-01-03,Product B,80,77
2019-01-03,Product C,125,70
2019-01-04,Product A,112,77
2019-01-04,Product B,102,25
2019-01-04,Product C,181,75
2019-01-05,Product A,124,64
2019-01-05,Product B,53,48
2019-01-05,Product C,137,63
2019-01-06,Product A,93,41
2019-01-06,Product B,148,90
2019-01-06,Product C,52,29
2019-01-07,Product A,120,13
2019-01-07,Product B,93,32
2019-01-07,Product C,108,44
2019-01-08,Product A,169,35
2019-01-08,Product B,131,26
2019-01-08,Product C,76,5
2019-01-09,Product A,72,15
2019-01-09,Product B,56,98
2019-01-09,Product C,164,3
2019-01-10,Product A,56,38
2019-01-10,Product B,53,58
2019-01-10,Product C,134,54
2019-01-11,Product A,60,4
2019-01-11,Product B,176,18
2019-01-11,Product C,112,5
2019-01-12,Product A,176,86
2019-01-12,Product B,171,39
2019-01-12,Product C,111,16
2019-01-13,Product A,167,69
2019-01-13,Product B,135,79
2019-01-13,Product C,170,93
2019-01-14,Product A,110,83
2019-01-14,Product B,157,80
2019-01-14,Product C,135,44
2019-01-15,Product A,133,93
2019-01-15,Product B,68,50
2019-01-15,Product C,187,42
2019-01-16,Product A,68,41
2019-01-16,Product B,155,86
2019-01-16,Product C,96,56
2019-01-17,Product A,108,91
2019-01-17,Product B,83,50
2019-01-17,Product C,163,17
2019-01-18,Product A,95,74
2019-01-18,Product B,126,69
2019-01-18,Product C,118,6
2019-01-19,Product A,136,40
2019-01-19,Product B,72,3
2019-01-19,Product C,81,77
2019-01-20,Product A,141,48
2019-01-20,Product B,129,17
2019-01-20,Product C,178,96
2019-01-21,Product A,106,42
2019-01-21,Product B,123,84
2019-01-21,Product C,121,75
2019-01-22,Product A,171,95
2019-01-22,Product B,57,23
2019-01-22,Product C,144,95
2019-01-23,Product A,193,74
2019-01-23,Product B,148,54
2019-01-23,Product C,123,10
2019-01-24,Product A,112,56
2019-01-24,Product B,110,51
2019-01-24,Product C,174,22
2019-01-25,Product A,53,52
2019-01-25,Product B,186,49
2019-01-25,Product C,84,18
2019-01-26,Product A,196,38
2019-01-26,Product B,59,66
2019-01-26,Product C,83,34
2019-01-27,Product A,97,57
2019-01-27,Product B,153,58
2019-01-27,Product C,80,73
2019-01-28,Product A,156,26
2019-01-28,Product B,174,42
2019-01-28,Product C,177,24
2019-01-29,Product A,79,21
2019-01-29,Product B,180,72
2019-01-29,Product C,188,97
2019-01-30,Product A,67,83
2019-01-30,Product B,190,47
2019-01-30,Product C,183,39
2019-01-31,Product A,188,21
2019-01-31,Product B,173,67
2019-01-31,Product C,170,70
2019-02-01,Product A,113,42
2019-02-01,Product B,176,21
2019-02-01,Product C,66,80
2019-02-02,Product A,86,79
2019-02-02,Product B,50,6
2019-02-02,Product C,79,17
2019-02-03,Product A,109,16
